Date,Tests,Statewide %,Cluster %,Non-cluster %,Statewide cases,7-day Statewide %,7-day Cluster %,7-day Non-cluster %,NYC rolling % - City,7-day NYC rolling % - City,NYC tests,NYC cases,NYC rolling % - State,7-day NYC rolling % - State,Extrapolate Statewide Delta,Extrapolate Cluster Delta (Rand),Extrapolate Non-cluster Delta
10/7/2020,"108,246",1.26%,5.10%,-,"1,360",-,-,-,-,-,"37,573",548,1.46%,-,-,-,-
10/8/2020,"145,811",1.26%,5.80%,1.01%,"1,836",-,-,-,-,-,"56,650",696,1.23%,-,0.00%,0.70%,0.00%
10/9/2020,"139,300",1.14%,5.40%,0.90%,"1,592",-,-,-,-,-,"52,767",624,1.18%,-,-0.12%,-0.40%,-0.11%
10/10/2020,"134,579",1.08%,4.95%,0.96%,"1,447",-,-,-,-,-,"51,461",575,1.12%,-,-0.07%,-0.45%,0.06%
10/11/2020,"118,254",0.97%,5.70%,0.84%,"1,143",-,-,-,-,-,"43,788",469,1.07%,-,-0.11%,0.75%,-0.12%
10/12/2020,"91,793",1.12%,3.70%,1.05%,"1,029",-,-,-,-,1.53%,"35,182",393,1.12%,-,0.15%,-2.00%,0.21%
10/13/2020,"99,070",1.41%,4.13%,1.20%,"1,393",1.17%,4.97%,0.85%,-,-,"42,463",545,1.28%,-,0.29%,0.43%,0.15%
10/14/2020,"111,744",1.10%,6.20%,0.95%,"1,232",1.15%,5.13%,0.99%,-,-,"37,560",464,1.24%,-,-0.30%,2.07%,-0.25%
10/15/2020,"133,212",1.10%,4.84%,0.99%,"1,460",1.12%,4.99%,0.98%,-,-,"51,261",508,0.99%,-,-0.01%,-1.36%,0.04%
10/16/2020,"136,039",1.25%,4.84%,1.14%,"1,707",1.14%,4.91%,1.02%,-,-,"54,557",660,1.21%,1.14%,0.16%,0.00%,0.15%
10/17/2020,"159,972",1.12%,4.34%,1.02%,"1,784",1.15%,4.82%,1.03%,-,-,"67,573",806,1.19%,1.16%,-0.14%,-0.50%,-0.12%
10/18/2020,"128,763",1.08%,3.19%,1.00%,"1,390",1.16%,4.46%,1.05%,-,-,"56,960",612,1.07%,1.15%,-0.04%,-1.15%,-0.02%
10/19/2020,"82,009",1.22%,3.31%,1.13%,998,1.17%,4.41%,1.06%,-,-,"32,502",419,1.29%,1.17%,0.14%,0.12%,0.13%
10/20/2020,"90,540",1.33%,2.91%,1.25%,"1,201",1.16%,4.23%,1.07%,-,-,"32,901",436,1.33%,1.17%,0.11%,-0.40%,0.12%
10/21/2020,"124,789",1.62%,6.61%,1.42%,"2,026",1.24%,4.29%,1.14%,1.56%,-,"51,903",839,1.62%,1.23%,0.30%,3.70%,0.17%
10/22/2020,"135,341",1.20%,3.20%,0.96%,"1,628",1.25%,4.06%,1.13%,-,-,"47,546",530,1.11%,1.25%,-0.42%,-3.41%,-0.46%
10/23/2020,"141,508",1.16%,2.31%,0.98%,"1,637",1.24%,3.70%,1.11%,-,-,"56,599",571,1.01%,1.22%,-0.05%,-0.89%,0.02%
10/24/2020,"156,940",1.31%,2.58%,1.13%,"2,061",1.27%,3.44%,1.12%,-,-,"60,543",755,1.25%,1.23%,0.16%,0.27%,0.15%
10/25/2020,"120,829",1.35%,3.18%,1.06%,"1,632",1.31%,3.44%,1.13%,-,-,"47,770",653,1.37%,1.27%,0.04%,0.60%,-0.07%
10/26/2020,"82,117",1.45%,3.25%,1.18%,"1,191",1.34%,3.43%,1.14%,-,-,"31,367",424,1.35%,1.28%,0.10%,0.07%,0.12%
10/27/2020,"111,618",1.78%,3.65%,1.53%,"1,991",1.39%,3.54%,1.18%,-,-,"43,286",731,1.69%,1.33%,0.33%,0.40%,0.35%
10/28/2020,"129,660",1.57%,3.78%,1.37%,"2,031",1.39%,3.14%,1.17%,-,-,"52,496",837,1.59%,1.33%,-0.22%,0.13%,-0.16%
10/29/2020,"168,353",1.48%,3.24%,1.25%,"2,499",1.43%,3.14%,1.21%,-,-,"70,453","1,060",1.50%,1.39%,-0.08%,-0.54%,-0.12%
10/30/2020,"146,885",1.54%,2.75%,1.38%,"2,255",1.49%,3.20%,1.27%,-,1.57%,"57,765",903,1.56%,1.47%,0.05%,-0.49%,0.13%
10/31/2020,"136,962",1.50%,3.01%,1.30%,"2,049",1.52%,3.27%,1.30%,2.08%,1.81%,"51,890",699,1.35%,1.49%,-0.04%,0.26%,-0.08%
11/1/2020,"148,935",1.51%,3.10%,1.36%,"2,255",1.54%,3.25%,1.34%,-,-,"65,619",946,1.44%,1.50%,0.02%,0.09%,0.06%
11/2/2020,"96,101",1.70%,3.50%,1.49%,"1,633",1.57%,3.29%,1.38%,-,-,"41,730",641,1.54%,1.52%,0.19%,0.40%,0.13%
11/3/2020,"127,869",1.82%,2.63%,1.71%,"2,321",1.58%,3.14%,1.41%,-,1.59%,"53,036",802,1.51%,1.50%,0.12%,-0.87%,0.22%
11/4/2020,"133,534",1.59%,2.69%,1.42%,"2,126",1.58%,2.99%,1.42%,1.81%,1.74%,"60,702",795,1.31%,1.46%,-0.22%,0.06%,-0.29%
11/5/2020,"161,019",1.86%,3.04%,1.70%,"2,997",1.64%,2.96%,1.48%,-,1.81%,"64,902","1,067",1.64%,1.48%,0.27%,0.35%,0.28%
11/6/2020,"160,705",2.00%,3.16%,1.84%,"3,209",1.72%,3.02%,1.55%,-,1.96%,"63,299","1,203",1.90%,1.53%,0.14%,0.12%,0.14%
11/7/2020,"163,291",2.20%,4.22%,2.01%,"3,587",1.83%,3.19%,1.65%,-,-,"63,016","1,165",1.85%,1.61%,0.20%,1.06%,0.17%
11/8/2020,"145,642",2.35%,3.70%,2.23%,"3,428",1.95%,3.28%,1.77%,-,-,"64,371","1,391",2.16%,1.72%,0.16%,-0.52%,0.22%
11/9/2020,"111,416",2.82%,4.32%,2.69%,"3,144",2.07%,3.39%,1.94%,2.61%,2.21%,"45,857","1,156",2.52%,1.83%,0.47%,0.62%,0.46%
11/10/2020,"128,036",3.10%,5.59%,2.56%,"3,965",2.24%,3.82%,2.06%,-,2.31%,"49,942","1,208",2.42%,1.94%,0.27%,1.27%,-0.13%
11/11/2020,"164,300",2.93%,4.96%,2.58%,"4,820",2.43%,4.14%,2.23%,-,2.52%,"61,053","1,731",2.84%,2.16%,-0.16%,-0.63%,0.02%
11/12/2020,"162,627",2.95%,4.86%,2.53%,"4,797",2.60%,4.40%,2.35%,0.32%,2.60%,"68,146","1,662",2.44%,2.29%,0.02%,-0.10%,-0.05%
11/13/2020,"203,721",2.65%,4.58%,2.29%,"5,401",2.70%,4.60%,2.41%,0.30%,2.83%,"74,221","1,826",2.46%,2.38%,-0.30%,-0.28%,-0.24%
11/14/2020,"184,162",2.93%,4.83%,2.57%,"5,388",2.81%,4.69%,2.49%,2.47%,2.47%,"72,792","1,797",2.47%,2.47%,0.27%,0.25%,0.28%
11/15/2020,"133,202",2.74%,4.05%,2.45%,"3,649",2.87%,4.74%,2.52%,3.20%,2.57%,"65,235","1,457",2.23%,2.48%,-0.19%,-0.78%,-0.12%
11/16/2020,"124,565",2.80%,4.19%,2.50%,"3,490",2.86%,4.72%,2.50%,1.68%,2.77%,"56,374","1,285",2.28%,2.45%,0.06%,0.14%,0.05%
11/17/2020,"159,852",3.18%,4.89%,2.82%,"5,088",2.88%,4.62%,2.53%,2.93%,2.74%,"66,042","1,934",2.93%,2.52%,0.38%,0.70%,0.32%
11/18/2020,"154,434",3.43%,4.73%,3.10%,"5,294",2.95%,4.59%,2.61%,3.07%,3.00%,"58,371","1,747",2.99%,2.54%,0.25%,-0.16%,0.28%
11/19/2020,"195,239",2.72%,4.11%,2.38%,"5,310",2.91%,4.48%,2.59%,2.39%,3.01%,"77,387","1,847",2.39%,2.53%,-0.71%,-0.62%,-0.72%
